code|description
15880000|productos alimenticios especiales
15881000|preparaciones alimenticias homogeneizadas
15882000|productos dietéticos
15884000|alimentos infantiles
15890000|productos alimenticios diversos y alimentos secos
15891000|sopas y caldos
15891100|sopas de carne
15891200|sopas de pescado
15891300|sopas compuestas
15891400|sopas
15891410|sopas instantáneas
15891500|caldos
15891600|concentrados de caldo
15891610|caldos instantáneos
15891900|sopas de verduras
15892000|jugos y extractos vegetales, sustancias pépticas y espesantes
15892100|jugos vegetales
15892200|extractos vegetales
15892400|espesantes
15893000|productos secos
15893100|mezclas para comidas
15893200|mezclas para postres
15893300|mezclas para salsas
15894000|productos alimenticios elaborados
15894100|comidas vegetarianas
15894200|comidas preparadas
15894210|comidas para colegios
15894220|comidas para hospitales
15894300|bandejas de comida preparada
15894400|aperitivos
15894500|productos para máquinas automáticas distribuidoras
15894600|alimentos para bocadillos
15894700|comestibles finos preparados
15895000|productos para comida rápida
15895100|hamburguesas
15896000|productos congelados
15897000|productos enlatados y raciones de campaña
15897100|raciones de campaña
15897200|productos enlatados
15897300|paquetes de comida
15898000|levadura
15899000|polvos para hornear
15900000|bebidas, tabaco y productos relacionados
15910000|bebidas alcohólicas destiladas
15911000|bebidas espirituosas
15911100|aguardientes
15911200|licores
15930000|vinos
15931000|vinos no aromatizados
15931100|vino espumoso
15931200|vino de mesa
15931300|oporto
15931400|vino de madeira
15931500|mosto de uva
15931600|jerez
15932000|heces de vino
15940000|sidra y otros vinos a base de fruta
15941000|sidra
15942000|vinos a base de fruta
15950000|bebidas fermentadas no destiladas
15951000|vermut
15960000|cerveza de malta
15961000|cerveza
15961100|cerveza "lager"
15962000|heces de cervecería o destilería
15980000|bebidas sin alcohol
15981000|agua mineral
15981100|agua mineral sin gas
15981200|agua mineral con gas
15981300|agua en estado sólido
15981310|hielo
15981320|nieve
15981400|aguas minerales aromatizadas
15982000|refrescos
15982100|zumos de fruta concentrados
15982200|leche chocolateada
15990000|tabaco, productos de tabaco y artículos afines
15991000|productos de tabaco
15991100|cigarros puros
15991200|cigarros pequeños
15991300|cigarrillos
15992000|tabaco
15992100|tabaco manufacturado
15993000|artículos de estanco
15994000|papel de fumar y papel de filtro
15994100|papel de fumar
15994200|papel de filtro
16000000|maquinaria agrícola
16100000|máquinas, aparatos y artefactos agrícolas, hortícolas o silvícolas, para la preparación o el trabajo del suelo o para el cultivo
16110000|arados o gradas de disco
16120000|gradas, escarificadores, cultivadores, escardadoras o binadoras
16130000|sembradoras, plantadoras o transplantadoras
16140000|esparcidores de estiércol
16141000|distribuidores de abono
16150000|rodillos para césped o terrenos de deporte
16160000|equipo diverso para jardinería
16300000|cosechadoras
16310000|máquinas segadoras
16311000|cortadoras de césped
16311100|cortadoras de césped para jardines, parques o terrenos de deporte
16320000|máquinas para henificar
16330000|prensas para paja o forraje
16331000|prensas recogedoras
16340000|cosechadoras y trilladoras
16400000|aparatos de pulverizar para la agricultura o la horticultura
16500000|remolques y semirremolques, autocargadores o autodescargadores, para usos agrícolas
16510000|remolques autocargadores para usos agrícolas
16520000|remolques autodescargadores para usos agrícolas
16530000|semirremolques autocargadores para usos agrícolas
16540000|semirremolques autodescargadores para usos agrícolas
16600000|maquinaria agrícola o forestal especializada
16610000|máquinas para la limpieza o la clasificación de huevos, frutas u otros productos agrícolas
16611000|máquinas para lavar productos agrícolas
16611100|máquinas para lavar huevos
16611200|máquinas para lavar frutas
16612000|máquinas para seleccionar o clasificar productos agrícolas
16612100|máquinas para seleccionar o clasificar huevos
16612200|máquinas para seleccionar o clasificar fruta
